,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ponta Do Sol,PT,32.6667,-17.1,65.03,63,18,8.12,few clouds
79,Ilulissat,GL,69.2167,-51.1,12.29,82,100,2.84,overcast clouds
80,Trapani,IT,37.8333,12.6667,65.28,94,0,21.85,clear sky
81,Aksarka,RU,66.5606,67.7975,1.24,82,43,11.1,scattered clouds
82,Nouadhibou,MR,20.931,-17.0347,66.18,88,0,19.57,clear sky
83,Saint-Augustin,CA,51.226,-58.6502,20.14,98,100,3.44,overcast clouds
84,Sangueya,GN,10.7,-14.3667,74.14,74,100,2.3,overcast clouds
85,Mahebourg,MU,-20.4081,57.7,78.26,69,40,4.61,scattered clouds
86,Upernavik,GL,72.7868,-56.1549,9.82,88,99,17.29,overcast clouds
87,At-Bashi,KG,41.1702,75.8106,31.35,57,100,1.5,overcast clouds
88,Bandarbeyla,SO,9.4942,50.8122,80.83,75,18,16.96,few clouds
89,Oussouye,SN,12.485,-16.5469,73.13,31,84,7.02,broken clouds
90,Carutapera,BR,-1.195,-46.02,77.5,84,51,8.01,broken clouds
91,Sur,OM,22.5667,59.5289,81.27,46,5,1.41,clear sky
92,Touros,BR,-5.1989,-35.4608,76.15,80,97,7.74,overcast clouds
93,Sorland,NO,67.667,12.6934,42.66,52,5,5.77,clear sky
94,Saint-Paul,RE,-21.0096,55.2707,77.11,63,0,4.34,clear sky
95,Velingara,SN,13.15,-14.1167,70.18,22,91,5.28,overcast clouds
96,Digha,IN,21.6833,87.55,77.86,38,82,14.36,broken clouds
97,Kirya,TZ,-3.9167,37.4833,73.72,76,100,4.97,light rain
98,Faya,SA,18.3851,42.4509,53.71,59,0,3.44,clear sky
99,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,82,0,6.8,clear sky
100,Bilma,NE,18.6853,12.9164,64.2,23,41,5.86,scattered clouds
101,Paso De Carrasco,UY,-34.8603,-56.0522,70.95,78,0,4.61,clear sky
102,Raga,SS,8.4596,25.678,68.49,31,82,3.8,broken clouds
103,East London,ZA,-33.0153,27.9116,61.74,94,75,12.66,broken clouds
104,Estelle,US,29.8458,-90.1067,53.6,62,100,5.99,overcast clouds
105,Gat,IL,31.61,34.7642,64.4,61,3,3.62,clear sky
106,Colgong,IN,25.2667,87.2167,76.91,32,37,6.49,scattered clouds
107,Hualmay,PE,-11.0964,-77.6139,63.39,84,95,7.0,overcast clouds
108,Cumana,VE,10.4635,-64.1775,77.5,84,15,9.08,few clouds
109,Kant,IN,27.8,79.8,72.41,46,3,2.64,clear sky
110,Tukrah,LY,32.5341,20.5791,65.91,64,0,6.98,clear sky
111,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.67,82,93,7.36,overcast clouds
112,Nanortalik,GL,60.1432,-45.2371,28.11,95,100,2.77,light snow
113,Bengkulu,ID,-3.8004,102.2655,82.98,71,100,11.25,overcast clouds
114,Le Port,RE,-20.9373,55.2919,77.0,62,3,3.2,clear sky
115,Ouadda,CF,8.0777,22.4007,65.32,44,93,3.69,overcast clouds
116,Garissa,KE,-0.4536,39.6401,78.01,75,47,5.55,scattered clouds
117,Pisco,PE,-13.7,-76.2167,62.65,82,0,0.0,clear sky
118,Manyana,BW,-23.4,21.7167,78.15,27,48,9.19,scattered clouds
119,Vila Velha,BR,-20.3297,-40.2925,69.94,79,0,8.05,clear sky
120,Denia,ES,38.8408,0.1057,58.46,50,6,10.0,clear sky
121,Mao,ES,39.8885,4.2658,52.36,93,20,10.36,few clouds
122,Skjervoy,NO,70.0311,20.9714,24.8,49,38,5.35,scattered clouds
123,Kapoeta,SS,4.7717,33.5903,81.19,49,55,6.76,broken clouds
124,Kashi,CN,39.4547,75.9797,42.01,30,40,2.24,scattered clouds
125,Karachev,RU,53.1229,34.9852,23.04,80,99,11.41,overcast clouds
126,San Carlos,VE,9.6612,-68.5827,71.1,97,98,3.02,overcast clouds
127,Necochea,AR,-38.5473,-58.7368,62.04,96,100,10.45,overcast clouds
128,Saint George,US,37.1041,-113.5841,43.39,44,0,5.99,clear sky
129,Salalah,OM,17.0151,54.0924,79.27,57,0,3.96,clear sky
130,Yelan,RU,50.949,43.7378,26.69,88,90,3.0,overcast clouds
131,Areosa,PT,41.7178,-8.8571,51.66,83,82,10.45,broken clouds
132,Villa Bruzual,VE,9.3328,-69.1208,71.62,94,99,3.24,overcast clouds
133,Birecik,TR,37.0294,37.9903,54.61,82,75,3.31,broken clouds
134,Tortoli,IT,39.9256,9.6572,62.42,67,20,5.75,few clouds
135,Itarema,BR,-2.9248,-39.9167,77.56,78,69,10.27,broken clouds
136,Igarka,RU,67.4667,86.5833,3.56,94,100,10.56,overcast clouds
137,Paragominas,BR,-2.9667,-47.4833,71.2,97,97,2.77,overcast clouds
138,Nueva Italia,PY,-25.6167,-57.5,70.83,56,0,6.08,clear sky
139,Kudahuvadhoo,MV,2.6708,72.8944,81.7,76,83,15.7,broken clouds
140,Yenotayevka,RU,47.2456,47.0281,39.43,79,81,4.83,broken clouds
141,Kavaratti,IN,10.5669,72.642,81.68,55,66,5.39,broken clouds
142,Cap Malheureux,MU,-19.9842,57.6142,78.48,61,15,4.0,few clouds
143,Fougamou,GA,-1.2154,10.5838,71.47,99,99,1.79,overcast clouds
144,Port Blair,IN,11.6667,92.75,86.04,70,40,4.61,scattered clouds
145,Mecca,SA,21.4267,39.8261,76.87,61,0,2.93,clear sky
146,Kenitra,MA,34.261,-6.5802,50.76,63,87,6.08,overcast clouds
147,Floro,NO,61.5996,5.0328,37.36,87,80,8.05,broken clouds
148,Aktash,RU,50.3,87.7333,4.91,57,38,4.47,scattered clouds
149,Asfi,MA,32.2994,-9.2372,59.74,67,42,14.32,scattered clouds
150,Acarau,BR,-2.8856,-40.12,77.56,80,73,10.31,broken clouds
151,Abbeville,FR,50.1,1.8333,48.16,90,75,4.97,broken clouds
152,Quebo,GW,11.3333,-14.9333,71.31,69,97,4.09,overcast clouds
153,Lagoa,PT,39.05,-27.9833,63.55,75,67,19.57,broken clouds
154,San Andres,CO,12.5847,-81.7006,82.42,83,20,11.5,few clouds
155,Nsanje,MW,-16.92,35.262,81.72,67,0,4.32,clear sky
156,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,75,6.91,broken clouds
157,Trollhattan,SE,58.2333,12.4167,35.37,86,75,14.97,broken clouds
158,Belmonte,BR,-15.8631,-38.8828,72.79,93,100,9.93,overcast clouds
159,Zorritos,PE,-3.6805,-80.6782,71.83,74,75,6.08,broken clouds
160,Stornoway,GB,58.2093,-6.3865,49.96,93,75,9.22,broken clouds
161,Matay,EG,28.419,30.7792,60.76,54,0,7.27,clear sky
162,Ordzhonikidze,KZ,52.4411,61.7408,25.3,92,100,4.72,light snow
163,Stolin,BY,51.8912,26.846,25.07,94,100,7.52,overcast clouds
164,Akhtubinsk,RU,48.2795,46.1722,34.97,79,91,4.05,overcast clouds
165,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,20.71,light intensity drizzle rain
166,Ayorou,NE,14.7308,0.9174,71.71,20,35,7.85,scattered clouds
167,Nara,JP,34.6851,135.8049,67.5,30,56,3.71,broken clouds
168,Halifax,CA,44.6453,-63.5724,37.4,84,66,9.22,broken clouds
169,Lixourion,GR,38.2019,20.4314,65.91,91,29,8.72,scattered clouds
170,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,12.66,few clouds
171,Kuryk,KZ,43.2,51.65,50.81,61,97,5.84,overcast clouds
172,Ribeira Grande,PT,38.5167,-28.7,65.77,71,76,11.99,broken clouds
173,Kruisfontein,ZA,-34.0033,24.7314,60.89,64,88,16.8,overcast clouds
174,Najran,SA,17.4924,44.1277,59.65,24,0,1.83,clear sky
175,Caravelas,BR,-17.7125,-39.2481,73.35,85,100,12.06,overcast clouds
176,Iqaluit,CA,63.7506,-68.5145,15.53,86,75,4.61,broken clouds
177,Chapais,CA,49.7834,-74.8492,11.98,95,100,5.77,overcast clouds
178,Atar,MR,20.5169,-13.0499,68.31,19,0,9.28,clear sky
179,Oranjemund,NA,-28.55,16.4333,59.29,82,86,10.94,overcast clouds
180,Mana,GF,5.6592,-53.7767,78.1,85,32,8.9,scattered clouds
181,Beirut,LB,33.8889,35.4944,63.34,55,70,5.75,broken clouds
182,Segezha,RU,63.7415,34.3222,28.89,81,30,9.01,scattered clouds
183,Khandbari,NP,27.3747,87.2039,72.01,45,0,4.41,clear sky
184,Ormara,PK,25.2088,64.6357,79.18,61,3,7.56,clear sky
185,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,18.41,broken clouds
186,Castro,BR,-24.7911,-50.0119,48.88,94,0,5.41,clear sky
187,Altagracia De Orituco,VE,9.8601,-66.3814,70.21,98,36,3.74,scattered clouds
188,Alta Floresta,BR,-9.8756,-56.0861,69.06,96,95,2.3,overcast clouds
189,Fort Thomas,US,39.0751,-84.4472,24.78,74,43,5.28,scattered clouds
190,Hope Mills,US,34.9704,-78.9453,39.36,77,0,4.61,clear sky
